"Hid_layer_size: [2048, 1024, 512, 256], lr: 0.0001, n_drop: 0.2, use j: True ~","Hid_layer_size: [2048, 1024, 512, 256], lr: 0.0001, n_drop: 0.2, use j: False ~","Hid_layer_size: [2048, 1024, 512, 256], lr: 0.0001, n_drop: 0.3, use j: True ~","Hid_layer_size: [2048, 1024, 512, 256], lr: 0.0001, n_drop: 0.3, use j: False ~","Hid_layer_size: [2048, 1024, 512, 256], lr: 0.0001, n_drop: 0.4, use j: True ~","Hid_layer_size: [2048, 1024, 512, 256], lr: 0.0001, n_drop: 0.4, use j: False ~","Hid_layer_size: [2048, 1024, 512, 256], lr: 1e-05, n_drop: 0.2, use j: True ~","Hid_layer_size: [2048, 1024, 512, 256], lr: 1e-05, n_drop: 0.2, use j: False ~","Hid_layer_size: [2048, 1024, 512, 256], lr: 1e-05, n_drop: 0.3, use j: True ~","Hid_layer_size: [2048, 1024, 512, 256], lr: 1e-05, n_drop: 0.3, use j: False ~","Hid_layer_size: [2048, 1024, 512, 256], lr: 1e-05, n_drop: 0.4, use j: True ~","Hid_layer_size: [2048, 1024, 512, 256], lr: 1e-05, n_drop: 0.4, use j: False ~","Hid_layer_size: [1024, 512], lr: 0.0001, n_drop: 0.2, use j: True ~","Hid_layer_size: [1024, 512], lr: 0.0001, n_drop: 0.2, use j: False ~","Hid_layer_size: [1024, 512], lr: 0.0001, n_drop: 0.3, use j: True ~","Hid_layer_size: [1024, 512], lr: 0.0001, n_drop: 0.3, use j: False ~","Hid_layer_size: [1024, 512], lr: 0.0001, n_drop: 0.4, use j: True ~","Hid_layer_size: [1024, 512], lr: 0.0001, n_drop: 0.4, use j: False ~","Hid_layer_size: [1024, 512], lr: 1e-05, n_drop: 0.2, use j: True ~","Hid_layer_size: [1024, 512], lr: 1e-05, n_drop: 0.2, use j: False ~","Hid_layer_size: [1024, 512], lr: 1e-05, n_drop: 0.3, use j: True ~","Hid_layer_size: [1024, 512], lr: 1e-05, n_drop: 0.3, use j: False ~","Hid_layer_size: [1024, 512], lr: 1e-05, n_drop: 0.4, use j: True ~","Hid_layer_size: [1024, 512], lr: 1e-05, n_drop: 0.4, use j: False ~","Hid_layer_size: [1024, 512, 256], lr: 0.0001, n_drop: 0.2, use j: True ~","Hid_layer_size: [1024, 512, 256], lr: 0.0001, n_drop: 0.2, use j: False ~","Hid_layer_size: [1024, 512, 256], lr: 0.0001, n_drop: 0.3, use j: True ~","Hid_layer_size: [1024, 512, 256], lr: 0.0001, n_drop: 0.3, use j: False ~","Hid_layer_size: [1024, 512, 256], lr: 0.0001, n_drop: 0.4, use j: True ~","Hid_layer_size: [1024, 512, 256], lr: 0.0001, n_drop: 0.4, use j: False ~","Hid_layer_size: [1024, 512, 256], lr: 1e-05, n_drop: 0.2, use j: True ~","Hid_layer_size: [1024, 512, 256], lr: 1e-05, n_drop: 0.2, use j: False ~","Hid_layer_size: [1024, 512, 256], lr: 1e-05, n_drop: 0.3, use j: True ~","Hid_layer_size: [1024, 512, 256], lr: 1e-05, n_drop: 0.3, use j: False ~","Hid_layer_size: [1024, 512, 256], lr: 1e-05, n_drop: 0.4, use j: True ~","Hid_layer_size: [1024, 512, 256], lr: 1e-05, n_drop: 0.4, use j: False ~","Hid_layer_size: [1024, 512, 256, 128], lr: 0.0001, n_drop: 0.2, use j: True ~","Hid_layer_size: [1024, 512, 256, 128], lr: 0.0001, n_drop: 0.2, use j: False ~","Hid_layer_size: [1024, 512, 256, 128], lr: 0.0001, n_drop: 0.3, use j: True ~","Hid_layer_size: [1024, 512, 256, 128], lr: 0.0001, n_drop: 0.3, use j: False ~","Hid_layer_size: [1024, 512, 256, 128], lr: 0.0001, n_drop: 0.4, use j: True ~","Hid_layer_size: [1024, 512, 256, 128], lr: 0.0001, n_drop: 0.4, use j: False ~","Hid_layer_size: [1024, 512, 256, 128], lr: 1e-05, n_drop: 0.2, use j: True ~","Hid_layer_size: [1024, 512, 256, 128], lr: 1e-05, n_drop: 0.2, use j: False ~","Hid_layer_size: [1024, 512, 256, 128], lr: 1e-05, n_drop: 0.3, use j: True ~","Hid_layer_size: [1024, 512, 256, 128], lr: 1e-05, n_drop: 0.3, use j: False ~","Hid_layer_size: [1024, 512, 256, 128], lr: 1e-05, n_drop: 0.4, use j: True ~","Hid_layer_size: [1024, 512, 256, 128], lr: 1e-05, n_drop: 0.4, use j: False ~","Hid_layer_size: [1024, 512, 320, 180], lr: 0.0001, n_drop: 0.2, use j: True ~","Hid_layer_size: [1024, 512, 320, 180], lr: 0.0001, n_drop: 0.2, use j: False ~","Hid_layer_size: [1024, 512, 320, 180], lr: 0.0001, n_drop: 0.3, use j: True ~","Hid_layer_size: [1024, 512, 320, 180], lr: 0.0001, n_drop: 0.3, use j: False ~","Hid_layer_size: [1024, 512, 320, 180], lr: 0.0001, n_drop: 0.4, use j: True ~","Hid_layer_size: [1024, 512, 320, 180], lr: 0.0001, n_drop: 0.4, use j: False ~","Hid_layer_size: [1024, 512, 320, 180], lr: 1e-05, n_drop: 0.2, use j: True ~","Hid_layer_size: [1024, 512, 320, 180], lr: 1e-05, n_drop: 0.2, use j: False ~","Hid_layer_size: [1024, 512, 320, 180], lr: 1e-05, n_drop: 0.3, use j: True ~","Hid_layer_size: [1024, 512, 320, 180], lr: 1e-05, n_drop: 0.3, use j: False ~","Hid_layer_size: [1024, 512, 320, 180], lr: 1e-05, n_drop: 0.4, use j: True ~","Hid_layer_size: [1024, 512, 320, 180], lr: 1e-05, n_drop: 0.4, use j: False ~","Hid_layer_size: [1500, 1000, 750, 500, 200], lr: 0.0001, n_drop: 0.2, use j: True ~","Hid_layer_size: [1500, 1000, 750, 500, 200], lr: 0.0001, n_drop: 0.2, use j: False ~","Hid_layer_size: [1500, 1000, 750, 500, 200], lr: 0.0001, n_drop: 0.3, use j: True ~","Hid_layer_size: [1500, 1000, 750, 500, 200], lr: 0.0001, n_drop: 0.3, use j: False ~","Hid_layer_size: [1500, 1000, 750, 500, 200], lr: 0.0001, n_drop: 0.4, use j: True ~","Hid_layer_size: [1500, 1000, 750, 500, 200], lr: 0.0001, n_drop: 0.4, use j: False ~","Hid_layer_size: [1500, 1000, 750, 500, 200], lr: 1e-05, n_drop: 0.2, use j: True ~","Hid_layer_size: [1500, 1000, 750, 500, 200], lr: 1e-05, n_drop: 0.2, use j: False ~","Hid_layer_size: [1500, 1000, 750, 500, 200], lr: 1e-05, n_drop: 0.3, use j: True ~","Hid_layer_size: [1500, 1000, 750, 500, 200], lr: 1e-05, n_drop: 0.3, use j: False ~","Hid_layer_size: [1500, 1000, 750, 500, 200], lr: 1e-05, n_drop: 0.4, use j: True ~","Hid_layer_size: [1500, 1000, 750, 500, 200], lr: 1e-05, n_drop: 0.4, use j: False ~"
5.25316858291626,5.041731834411621,5.155228614807129,5.148058891296387,5.030215263366699,5.181426048278809,5.008151054382324,5.249113082885742,5.3617448806762695,5.294750213623047,5.391059875488281,5.355704307556152,4.904457092285156,4.656518459320068,4.905066967010498,4.657315254211426,4.912369251251221,5.147050857543945,5.318162441253662,5.173349380493164,5.2925825119018555,5.001977920532227,5.086090564727783,5.271230697631836,4.895773887634277,5.034650802612305,5.262628555297852,4.834547519683838,4.904206275939941,4.893492698669434,5.36735725402832,5.305117607116699,5.247097969055176,5.106902122497559,5.331615924835205,5.3881659507751465,5.147562026977539,4.795919418334961,5.228137493133545,5.169604301452637,5.1475443840026855,5.019400596618652,5.109586715698242,5.241152286529541,5.363238334655762,5.375392913818359,5.484068393707275,5.299137592315674,5.034599304199219,4.7858567237854,5.069494247436523,5.208317756652832,5.151620864868164,5.215125560760498,5.162583827972412,5.392786026000977,5.393492221832275,5.415266036987305,5.441065788269043,5.396856307983398,5.0214056968688965,5.277376174926758,5.144742488861084,5.152349948883057,5.147603988647461,4.978914260864258,5.41274881362915,5.379567623138428,5.399753570556641,5.415911674499512,5.421469211578369,5.544333457946777
4.946926116943359,4.910484313964844,5.02338981628418,5.020934104919434,5.026458263397217,4.8972697257995605,4.917056083679199,5.09237813949585,5.046916961669922,5.151670455932617,5.17341423034668,5.208076000213623,4.807251930236816,4.651185035705566,4.902441024780273,4.531257152557373,4.902665138244629,4.909539222717285,5.053824424743652,4.803897857666016,5.156030654907227,4.921965599060059,4.971073627471924,4.930342197418213,4.672821521759033,4.845991134643555,4.902773380279541,4.659155368804932,4.675555229187012,4.65641975402832,5.059683322906494,5.1494364738464355,5.00630521774292,4.919764041900635,5.256097793579102,5.212431907653809,5.148539066314697,4.77426290512085,5.152528762817383,5.133606433868408,4.904947757720947,4.861017227172852,5.031802177429199,5.0259318351745605,5.244728088378906,5.292362689971924,5.3407673835754395,5.105199337005615,4.921441555023193,4.678424835205078,4.717167377471924,5.148395538330078,5.125762939453125,5.147981643676758,5.033681392669678,5.246208667755127,5.387652397155762,5.286291122436523,5.396308898925781,5.329754829406738,4.90024471282959,5.149463653564453,5.028784275054932,5.1507720947265625,5.043727874755859,4.995949745178223,5.1342244148254395,5.270779609680176,5.177248477935791,5.270654678344727,5.315175533294678,5.353860855102539
4.905395030975342,4.903390407562256,5.022880554199219,4.906268119812012,5.026859760284424,4.906357765197754,4.782397747039795,5.0300397872924805,4.909604072570801,5.0737528800964355,5.15639591217041,5.14475154876709,4.7746992111206055,4.649813652038574,4.775228500366211,4.527215480804443,4.772100448608398,4.902400493621826,5.009304523468018,4.683462142944336,4.9373931884765625,4.6913347244262695,4.815830230712891,4.905104160308838,4.45015811920166,4.785262584686279,4.898336887359619,4.654577255249023,4.6591949462890625,4.626832485198975,5.03348445892334,5.0331525802612305,4.9202656745910645,4.922797203063965,5.199997901916504,5.16495418548584,5.150601387023926,4.775094509124756,5.042982578277588,5.036839485168457,4.910150527954102,4.784932613372803,5.018181800842285,4.979949474334717,5.181840419769287,5.189767837524414,5.2808027267456055,5.065237045288086,4.786476135253906,4.532848358154297,4.657533645629883,5.148305892944336,5.14300537109375,5.040549278259277,5.020387649536133,5.172586441040039,5.358732223510742,5.161571979522705,5.389688491821289,5.278100967407227,4.776775360107422,5.151113510131836,4.908413887023926,5.148052215576172,5.0267815589904785,4.917545795440674,5.117153644561768,5.169285297393799,5.057589054107666,5.154304027557373,5.152570724487305,5.26516580581665
4.900868892669678,4.900545120239258,5.043835639953613,4.902005672454834,4.906625270843506,4.883847236633301,4.662771701812744,4.905686855316162,4.901920795440674,5.039204120635986,5.150382995605469,5.152985572814941,4.771424770355225,4.53011417388916,4.773042678833008,4.402790069580078,4.774414539337158,4.895195007324219,4.915842533111572,4.664645671844482,4.913803577423096,4.669685363769531,4.730735778808594,4.902329921722412,4.40528678894043,4.778146266937256,4.783252716064453,4.66717004776001,4.742214679718018,4.516234874725342,4.963932991027832,5.022396087646484,4.894427299499512,4.807614326477051,5.101505279541016,5.13654088973999,5.027139186859131,4.6734938621521,5.034945487976074,5.029470920562744,4.897071838378906,4.775684833526611,5.023212909698486,4.865760803222656,5.025712966918945,5.155360221862793,5.223028182983398,5.025269985198975,4.78123664855957,4.529196739196777,4.6927056312561035,5.144803524017334,5.025592803955078,5.048788070678711,5.021251678466797,5.037116527557373,5.265488624572754,5.151973247528076,5.339484691619873,5.271818161010742,4.7780256271362305,5.152070999145508,4.904628276824951,5.1501145362854,4.950517654418945,4.852855682373047,5.03035306930542,5.151800155639648,5.119903087615967,5.157902240753174,5.081756114959717,5.159674167633057
4.900066375732422,4.901517868041992,5.019258975982666,4.903153419494629,4.905172824859619,4.770680904388428,4.662535190582275,4.782345294952393,4.8953857421875,5.027544975280762,5.1516218185424805,5.149652004241943,4.771662712097168,4.403154373168945,4.77128267288208,4.405003547668457,4.662682056427002,4.773916244506836,4.910377502441406,4.658897876739502,4.910516738891602,4.659409523010254,4.671878814697266,4.780778884887695,4.404608726501465,4.778299331665039,4.528044700622559,4.6518144607543945,4.55091667175293,4.410089492797852,4.9166579246521,5.006971836090088,4.901944637298584,4.792695999145508,5.031144142150879,5.123401641845703,5.028824329376221,4.654420852661133,5.027276515960693,5.034156322479248,4.873778820037842,4.7733154296875,5.018585681915283,4.806440353393555,5.012375831604004,5.179627895355225,5.080844402313232,5.0087666511535645,4.780097007751465,4.530529975891113,4.668341636657715,5.14518928527832,5.032725811004639,5.026796817779541,5.0538649559021,5.0307722091674805,5.258519172668457,5.150626182556152,5.155500888824463,5.263937950134277,4.661634922027588,5.1404876708984375,4.912286758422852,5.153066635131836,4.904641151428223,4.784694671630859,4.934159755706787,5.148929595947266,5.037630081176758,5.21727991104126,5.031597137451172,5.146101951599121
4.897382736206055,4.900909423828125,4.902246475219727,4.902493953704834,4.912436008453369,4.714644432067871,4.663876533508301,4.664710998535156,4.7842793464660645,5.027431011199951,5.146381378173828,5.148532390594482,4.770779609680176,4.401783466339111,4.768440246582031,4.400678634643555,4.768872261047363,4.771100997924805,4.904754638671875,4.654310703277588,4.916678428649902,4.552577495574951,4.6644182205200195,4.668373107910156,4.40479040145874,4.77880859375,4.548035621643066,4.528250217437744,4.393690586090088,4.40884256362915,4.940074920654297,4.911463260650635,4.793966293334961,4.685624122619629,5.0442728996276855,5.142037391662598,5.02786111831665,4.680347442626953,5.024242877960205,5.021756172180176,4.802947044372559,4.77437162399292,4.988405227661133,4.83293342590332,4.846112251281738,5.150705814361572,5.040618896484375,4.901483535766602,4.7805585861206055,4.528224945068359,4.652838706970215,5.148537635803223,5.077741622924805,5.023180961608887,5.018838882446289,5.026472091674805,5.238649368286133,5.154654502868652,5.147852420806885,5.260107040405273,4.660432815551758,4.9226179122924805,4.909350395202637,5.115267753601074,4.903581619262695,4.779271125793457,4.781064510345459,5.150796890258789,5.044103145599365,5.146501541137695,5.027257919311523,5.152731895446777
4.9003095626831055,4.904429912567139,4.898400783538818,4.900966644287109,4.903295040130615,4.651309967041016,4.6539435386657715,4.55377197265625,4.77971076965332,5.011596202850342,5.154986381530762,5.008969306945801,4.768716812133789,4.399963855743408,4.768454074859619,4.400162696838379,4.647226810455322,4.7702813148498535,4.903223514556885,4.615787506103516,4.789979457855225,4.53385066986084,4.655807971954346,4.610725402832031,4.406296253204346,4.778045654296875,4.528686046600342,4.529802322387695,4.281431198120117,4.403610706329346,4.907042026519775,4.913562297821045,4.769434928894043,4.677958011627197,5.078634738922119,5.13623046875,5.027987957000732,4.654078960418701,5.02527379989624,5.024265289306641,4.77858829498291,4.77628231048584,4.778196811676025,4.800474166870117,4.7908124923706055,5.140384197235107,5.1191511154174805,4.904903411865234,4.777700901031494,4.527512550354004,4.652379989624023,5.026951313018799,4.901864051818848,5.019656181335449,4.907257556915283,5.030233383178711,5.0368146896362305,5.150063514709473,5.173643112182617,5.254294395446777,4.651366233825684,4.902193546295166,4.9035420417785645,5.024650573730469,5.0271453857421875,4.7789387702941895,4.840585708618164,5.203929901123047,4.952574729919434,5.165075302124023,5.011215686798096,5.2041168212890625
4.893712043762207,4.899780750274658,4.901639938354492,4.901180744171143,4.903710842132568,4.652286052703857,4.653277397155762,4.540358543395996,4.775930404663086,4.941652297973633,5.023754119873047,4.942972183227539,4.7694220542907715,4.399676322937012,4.769018173217773,4.399850845336914,4.647134780883789,4.410088539123535,4.903329849243164,4.542204856872559,4.783690452575684,4.533974647521973,4.656845569610596,4.550795078277588,4.404213905334473,4.778112411499023,4.529984474182129,4.528280258178711,4.2788238525390625,4.406033039093018,4.908570766448975,4.915530204772949,4.680953502655029,4.669210433959961,5.027602672576904,5.068935394287109,4.926453590393066,4.650493144989014,5.020174503326416,5.02730655670166,4.7843241691589355,4.7797346115112305,4.678526401519775,4.791205406188965,4.877460479736328,5.019193172454834,5.120148658752441,4.900424957275391,4.779387474060059,4.533373832702637,4.522274017333984,5.028678894042969,4.901926040649414,5.021674156188965,4.813401222229004,5.030921936035156,5.075449466705322,5.1477885246276855,5.154502868652344,5.223060607910156,4.65455961227417,4.905318737030029,4.90308952331543,5.046139717102051,4.9017415046691895,4.779384613037109,4.786149501800537,5.151333808898926,5.0263352394104,5.153431415557861,5.136490821838379,5.056732177734375
4.894876956939697,4.893778324127197,4.902583122253418,4.898589134216309,4.903262138366699,4.6520490646362305,4.653585910797119,4.530120849609375,4.781874656677246,4.902753829956055,5.025871276855469,4.915870189666748,4.769123077392578,4.4043402671813965,4.769099235534668,4.3996734619140625,4.646967887878418,4.403648376464844,4.902448654174805,4.530186176300049,4.781639099121094,4.528511047363281,4.651711463928223,4.5328569412231445,4.404675006866455,4.774897575378418,4.53292989730835,4.534923553466797,4.2792534828186035,4.405046463012695,4.9199538230896,4.923356533050537,4.663037300109863,4.65696382522583,5.0106706619262695,5.053389549255371,4.902820587158203,4.648629188537598,5.022732734680176,5.020176887512207,4.661952018737793,4.776984214782715,4.744855880737305,4.781098365783691,4.803594589233398,5.023678779602051,5.0303168296813965,4.902804374694824,4.776381015777588,4.531827926635742,4.405803203582764,5.0269060134887695,4.900627136230469,5.0238142013549805,4.885448455810547,5.028522491455078,5.025299072265625,5.151673316955566,5.160072326660156,5.163389682769775,4.656664848327637,4.778779983520508,4.903754711151123,4.7377495765686035,4.9025726318359375,4.779189586639404,4.78446102142334,5.154950141906738,5.105852127075195,5.147976875305176,5.044384002685547,5.0427961349487305
4.90094518661499,4.779327392578125,4.903995513916016,4.8997416496276855,4.904139518737793,4.530723571777344,4.65097713470459,4.532216548919678,4.775795936584473,4.913962364196777,4.956995010375977,4.906741142272949,4.646111965179443,4.399694442749023,4.769282341003418,4.399599075317383,4.655168056488037,4.401150703430176,4.7842559814453125,4.5268120765686035,4.77406120300293,4.528568267822266,4.644710063934326,4.529037952423096,4.316118240356445,4.772309303283691,4.540989875793457,4.5282745361328125,4.280481338500977,4.410159587860107,4.825552463531494,4.928206920623779,4.658873558044434,4.680732727050781,5.0127644538879395,5.060791969299316,4.902968883514404,4.5268731117248535,5.025556564331055,4.9034271240234375,4.654481410980225,4.652887344360352,4.737482070922852,4.779760837554932,4.8211565017700195,4.90895414352417,5.127323150634766,4.791539669036865,4.776402950286865,4.530434608459473,4.598504066467285,5.026771068572998,4.902003288269043,4.904006004333496,4.782995700836182,5.028087139129639,5.021134853363037,5.064483642578125,5.15205192565918,5.19477653503418,4.653371334075928,4.780849456787109,4.912497520446777,4.655576229095459,4.903833866119385,4.775720119476318,4.827794075012207,5.150394439697266,5.019631385803223,5.067227363586426,5.010525226593018,5.037478446960449
